NAME,BRAND,OPENED_ON,CLOSED_ON,ADDRESS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_CODE_2022,COUNTY,CURRENT_QUARTER,CURRENT_QUARTER_START,AGE_QUARTERS,CLOSED_NEXT_QUARTER
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2021Q3,2021-07-01,0,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2021Q4,2021-10-01,1,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2022Q1,2022-01-01,2,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2022Q2,2022-04-01,3,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2022Q3,2022-07-01,4,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2022Q4,2022-10-01,5,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2023Q1,2023-01-01,6,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2023Q2,2023-04-01,7,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2023Q3,2023-07-01,8,0
Country Financial,Country Financial,2021-07-01,2024-01-01,401 S Milwaukee Ave Ste 270,42.13362,-87.901476,523110,523150,Cook County,2023Q4,2023-10-01,9,1
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2022Q1,2022-01-01,0,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2022Q2,2022-04-01,1,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2022Q3,2022-07-01,2,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2022Q4,2022-10-01,3,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2023Q1,2023-01-01,4,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2023Q2,2023-04-01,5,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2023Q3,2023-07-01,6,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2023Q4,2023-10-01,7,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2024Q1,2024-01-01,8,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2024Q2,2024-04-01,9,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2024Q3,2024-07-01,10,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2024Q4,2024-10-01,11,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2025Q1,2025-01-01,12,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2025Q2,2025-04-01,13,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2025Q3,2025-07-01,14,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2025Q4,2025-10-01,15,0
Cooper's Hawk Winery and Restaurants,Cooper's Hawk Winery and Restaurants,2022-01-01,,20423 N Rand Rd,42.160378,-88.047923,722511,722511,Lake County,2026Q1,2026-01-01,16,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2022Q3,2022-07-01,0,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2022Q4,2022-10-01,1,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2023Q1,2023-01-01,2,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2023Q2,2023-04-01,3,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2023Q3,2023-07-01,4,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2023Q4,2023-10-01,5,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2024Q1,2024-01-01,6,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2024Q2,2024-04-01,7,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2024Q3,2024-07-01,8,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2024Q4,2024-10-01,9,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2025Q1,2025-01-01,10,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2025Q2,2025-04-01,11,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2025Q3,2025-07-01,12,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2025Q4,2025-10-01,13,0
Old National Bank,Old National Bank,2022-07-01,,1777 N Cedar Lake Rd,42.38101,-88.089338,522110,522110,Lake County,2026Q1,2026-01-01,14,0
Shell Oil,Shell Oil,2024-09-01,,3531 N Broadway St,41.946892,-87.646167,447110,457110,Cook County,2024Q3,2024-07-01,0,0
Shell Oil,Shell Oil,2024-09-01,,3531 N Broadway St,41.946892,-87.646167,447110,457110,Cook County,2024Q4,2024-10-01,1,0
Shell Oil,Shell Oil,2024-09-01,,3531 N Broadway St,41.946892,-87.646167,447110,457110,Cook County,2025Q1,2025-01-01,2,0
Shell Oil,Shell Oil,2024-09-01,,3531 N Broadway St,41.946892,-87.646167,447110,457110,Cook County,2025Q2,2025-04-01,3,0
Shell Oil,Shell Oil,2024-09-01,,3531 N Broadway St,41.946892,-87.646167,447110,457110,Cook County,2025Q3,2025-07-01,4,0
Shell Oil,Shell Oil,2024-09-01,,3531 N Broadway St,41.946892,-87.646167,447110,457110,Cook County,2025Q4,2025-10-01,5,0
Shell Oil,Shell Oil,2024-09-01,,3531 N Broadway St,41.946892,-87.646167,447110,457110,Cook County,2026Q1,2026-01-01,6,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2023Q3,2023-07-01,0,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2023Q4,2023-10-01,1,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2024Q1,2024-01-01,2,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2024Q2,2024-04-01,3,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2024Q3,2024-07-01,4,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2024Q4,2024-10-01,5,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2025Q1,2025-01-01,6,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2025Q2,2025-04-01,7,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2025Q3,2025-07-01,8,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2025Q4,2025-10-01,9,0
Family Dollar Stores,Family Dollar Stores,2023-07-01,,709 N Court St,38.263694,-87.995727,452319,455219,Edwards County,2026Q1,2026-01-01,10,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2020Q1,2020-01-01,0,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2020Q2,2020-04-01,1,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2020Q3,2020-07-01,2,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2020Q4,2020-10-01,3,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2021Q1,2021-01-01,4,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2021Q2,2021-04-01,5,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2021Q3,2021-07-01,6,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2021Q4,2021-10-01,7,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2022Q1,2022-01-01,8,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2022Q2,2022-04-01,9,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2022Q3,2022-07-01,10,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2022Q4,2022-10-01,11,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2023Q1,2023-01-01,12,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2023Q2,2023-04-01,13,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2023Q3,2023-07-01,14,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2023Q4,2023-10-01,15,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2024Q1,2024-01-01,16,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2024Q2,2024-04-01,17,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2024Q3,2024-07-01,18,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2024Q4,2024-10-01,19,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2025Q1,2025-01-01,20,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2025Q2,2025-04-01,21,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2025Q3,2025-07-01,22,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2025Q4,2025-10-01,23,0
Public Storage,Public Storage,2020-02-01,,222 N Mannheim Rd,41.874333,-87.88424,531130,531130,Cook County,2026Q1,2026-01-01,24,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2022Q3,2022-07-01,0,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2022Q4,2022-10-01,1,0
